Msa,2016_dollars,2017_dollars,2018_dollars,Rank_2018,Percent_change_2017,Percent_change_2018,Percent_rank_2018,
"Pittsfield, MA","52,595","54,135","56,503",57,2.9,4.4,216,
"Pocatello, ID","35,500","36,884","38,038",351,3.9,3.1,360,
"Portland-South Portland, ME","52,521","54,914","57,751",47,4.6,5.2,95,
"Portland-Vancouver-Hillsboro, OR-WA","51,683","54,014","56,991",52,4.5,5.5,60,
"Port St. Lucie, FL","50,134","51,824","54,228",72,3.4,4.6,170,
"Poughkeepsie-Newburgh-Middletown, NY","49,419","51,658","53,811",79,4.5,4.2,258,
"Prescott Valley-Prescott, AZ","36,511","38,381","40,312",310,5.1,5.0,106,
"Providence-Warwick, RI-MA","50,242","52,147","54,585",71,3.8,4.7,158,
"Provo-Orem, UT","37,375","38,802","40,831",298,3.8,5.2,85,
"Pueblo, CO","36,228","37,540","39,511",328,3.6,5.3,81,
"Punta Gorda, FL","39,292","39,868","41,564",286,1.5,4.3,241,
"Racine, WI","45,153","47,419","49,749",124,5.0,4.9,122,
"Raleigh-Cary, NC","51,005","52,219","55,045",69,2.4,5.4,66,
"Rapid City, SD","46,692","47,885","49,681",126,2.6,3.8,313,
"Reading, PA","45,863","47,412","49,945",120,3.4,5.3,72,
"Redding, CA","43,412","44,480","46,582",174,2.5,4.7,153,
"Reno, NV","52,263","56,120","59,639",34,7.4,6.3,25,
"Richmond, VA","53,093","55,282","57,301",49,4.1,3.7,326,
"Riverside-San Bernardino-Ontario, CA","37,774","38,821","40,486",303,2.8,4.3,232,
"Roanoke, VA","44,292","45,076","46,963",167,1.8,4.2,253,
"Rochester, MN","50,068","51,971","55,323",66,3.8,6.4,21,
"Rochester, NY","47,091","49,625","51,167",104,5.4,3.1,362,
"Rockford, IL","40,600","42,121","44,328",223,3.7,5.2,83,
"Rocky Mount, NC","36,625","37,764","39,498",329,3.1,4.6,175,
"Rome, GA","36,054","37,003","38,524",345,2.6,4.1,268,
"Sacramento-Roseville-Folsom, CA","52,436","54,010","56,278",59,3.0,4.2,250,
